Workbook_ID,Template_Path,Expected_SHA256,Variant,Variant_SHA256,Matches_Expected,Byte_Length
WB-04,docs/testing/workbooks/text-templates/04_Official_OpenVINO_Controlled_Retest_Workbook_v1.md,097ab019e248188d468ec701d57f397063eca2c42c8fe72f71ffdaa82ecdf26e,utf8-crlf-no-bom-no-final-newline,2acf0a054ad9e1136041229c5a740203b7ee2632fce4d367402e687a610cd4bd,False,14409
WB-04,docs/testing/workbooks/text-templates/04_Official_OpenVINO_Controlled_Retest_Workbook_v1.md,097ab019e248188d468ec701d57f397063eca2c42c8fe72f71ffdaa82ecdf26e,utf8-crlf-no-bom-one-final-newline,d215839813f9baf9e95c3810afa5e7054e20836470300e87c04ad5fdd00eb3e3,False,14411
WB-04,docs/testing/workbooks/text-templates/04_Official_OpenVINO_Controlled_Retest_Workbook_v1.md,097ab019e248188d468ec701d57f397063eca2c42c8fe72f71ffdaa82ecdf26e,utf8-lf-bom-no-final-newline,bb4af3fb9c8aba7b67fbd48b675312960070c31a3bd89253e91efd66e32fad51,False,14148
WB-04,docs/testing/workbooks/text-templates/04_Official_OpenVINO_Controlled_Retest_Workbook_v1.md,097ab019e248188d468ec701d57f397063eca2c42c8fe72f71ffdaa82ecdf26e,utf8-lf-bom-one-final-newline,434b24b93ee1590b6e259db9c18ceb0a419b2fe4d1f736f94f092af6f2057a58,False,14149
WB-04,docs/testing/workbooks/text-templates/04_Official_OpenVINO_Controlled_Retest_Workbook_v1.md,097ab019e248188d468ec701d57f397063eca2c42c8fe72f71ffdaa82ecdf26e,utf8-crlf-bom-no-final-newline,c25d6a89aafd2213485009a6eff4d4e129e9859a06d89ee125cb699c27115886,False,14412
WB-04,docs/testing/workbooks/text-templates/04_Official_OpenVINO_Controlled_Retest_Workbook_v1.md,097ab019e248188d468ec701d57f397063eca2c42c8fe72f71ffdaa82ecdf26e,utf8-crlf-bom-one-final-newline,f60176ff53f3a74b6d3c47eb21bd1d587393eaf90055c8f750e9c2a5041a7303,False,14414
WB-04,docs/testing/workbooks/text-templates/04_Official_OpenVINO_Controlled_Retest_Workbook_v1.md,097ab019e248188d468ec701d57f397063eca2c42c8fe72f71ffdaa82ecdf26e,utf16le-lf-bom-no-final-newline,fd3e16dad677421d91f4065ab9895ca0344a85d53cab8eb865b220bb87cb2786,False,28292
WB-04,docs/testing/workbooks/text-templates/04_Official_OpenVINO_Controlled_Retest_Workbook_v1.md,097ab019e248188d468ec701d57f397063eca2c42c8fe72f71ffdaa82ecdf26e,utf16le-lf-bom-one-final-newline,f5e2bd8c505669b6ec6cc8ee3139e2b948c8f0a803995122c85d50d6d0be1f26,False,28294
WB-04,docs/testing/workbooks/text-templates/04_Official_OpenVINO_Controlled_Retest_Workbook_v1.md,097ab019e248188d468ec701d57f397063eca2c42c8fe72f71ffdaa82ecdf26e,utf16le-crlf-bom-one-final-newline,ac017092e1422d1d0ca4a6155b0088b21a1fb102ae50ca306e11f87e80720778,False,28824
WB-04,docs/testing/workbooks/text-templates/04_Official_OpenVINO_Controlled_Retest_Workbook_v1.md,097ab019e248188d468ec701d57f397063eca2c42c8fe72f71ffdaa82ecdf26e,utf16be-lf-bom-one-final-newline,1608bef6eeccabd553fe141587cc77768af4ed70417d67685454439873131cf4,False,28294
